Aboard,Date,Fatalities,Flight #,Ground,Location - Split 1,Location - Split 2,Location - Split 3,Location,Number of Records,Operator,Registration,Route,Summary,Time,Total Death,Type,cn/In,Country,Latitude,Longitude,Name
5,19-11-1977,5,,0,Rome,Italy,,"Rome, Italy",1,Ethiopian Airlines,ET-ACD,"Rome, Italy - Asmara, Ethiopia",The cargo plane failed to gain altitude and crashed into trees.,30-12-1899 04:12:00,5,Boeing 707-360C,19736/696,IT,41.87194,12.56738,Italy
72,04-03-1966,64,402,0,Near Tokyo,Japan,,"Near Tokyo, Japan",1,Canadian PacifiAir Lines,CF-CPK,Hong Kong - Tokyo,The aircraft struck the approach lights and a sea wall during a landing attempt. The pilot initiated a steep rate of descent with the intention of executing a final approach at a lower altitude. Poor visibility due to illusive fog conditions misled the pilot and affected his judgement.,30-12-1899 20:15:00,64,McDonnell Douglas DC-8-43,45761/237,JP,36.204824,138.252924,Japan
20,18-05-1955,20,,0,Mt. Kilimanjaro,Kenya,,"Mt. Kilimanjaro, Kenya",1,East African Airways,VP-KKH,Dar-es-Salaam - Nairobi,Crashed after reporting being over Jipe Lake on the slopes of Mt. Kilimanjaro. Failure to follow prescribed route and procedures.,30-12-1899 11:56:00,20,Douglas DC-3,16820/33568,KE,-0.023559,37.906193,Kenya
16,25-07-1967,16,,0,Near Luang Prabang,Laos,,"Near Luang Prabang, Laos",1,Vehu Akat,XW-PDL,Vientiane - Luang Prabang,Struck a mountain in the Phou Pha Bon range while in a holding pattern. Encountered strong turbulence and downdrafts.,30-12-1899 10:30:00,16,Douglas DC-3,,LA,19.85627,102.495496,Laos
4,12-10-1930,4,,0,La Rache,Morocco,,"La Rache, Morocco",1,Aeropostale,F-AJUU,Casablanca - Bahat - Toulouse,The french postal plane crashed into mountains.,,4,Latecoere 28,,MA,31.791702,-7.09262,Morocco
19,10-05-1996,16,,0,Otaez,Mexico,,"Otaez, Mexico",1,Aeroservicios Empresariales de Durango,XA-SWJ,Durango - Otaez,Crashed into high ground while attempting to land at a mine airstrip in turbulence and stong gusty winds.,,16,de Havilland Canada DHC-6 Twin Otter 200,126,MX,23.634501,-102.552784,Mexico
53,26-06-1991,4,,0,Near Sokotu,Nigeria,,"Near Sokotu, Nigeria",1,Okada Air,5N-AOW,Benin - Kano,"The plane diverted to Sokotu due to poor weather. After circling for an hour, unable to locate the air field, the aircraft ran out of fuel and had to make a forced landing. The landing gear was torn off and the plane broke up during the ground slide.",30-12-1899 21:00:00,4,BAC One-Eleven 402AP,094,NG,9.081999,8.675277,Nigeria
35,20-11-1949,34,,0,Near Oslo,Norway,,"Near Oslo, Norway",1,Aero Holland,PH-TFA,Brussels - Oslo,Crashed while en route.,30-12-1899 16:56:00,34,Douglas C-47A,13462,NO,60.472024,8.468946,Norway
31,13-09-1972,31,,0,Near Dhulikhel,Nepal,,"Near Dhulikhel, Nepal",1,Military - Royal Nepalese Air Force,9N-RF10,Panchkhal - Tribuvan,Crashed while en route with paratroopers.,30-12-1899 12:00:00,31,Douglas C-47,9950,NP,28.394857,84.124008,Nepal
28,22-05-1954,3,,0,Paraparaumu,New Zealand,,"Paraparaumu, New Zealand",1,New Zealand National Airways,ZK-AQT,Churchchrist - Paraparaumu,Crashed onto a roadway from a height of 500 ft. The crew used the wrong fuel selection configueration and the engines failed due to fuel starvation.,30-12-1899 09:23:00,3,Douglas DC-3,15948/32696,NZ,-40.900557,174.885971,New Zealand
62,22-06-1989,62,,0,Near Tarma,Peru,,"Near Tarma, Peru",1,Fuerza Aérea del Peru,FAP-329,San Ramon - Captain Alvarino,Crashed into a mountainside in the remote Andean highlands shortly after leaving San Ramon. Overloaded.,30-12-1899 17:40:00,62,de Havilland Canada DHC-5D Buffalo,329,PE,-9.189967,-75.015152,Peru
30,11-07-1984,30,,0,Off Buenavista,Philippines,,"Off Buenavista, Philippines",1,Military - Philippine Air Force,,,Crashed into the PacifiOcean off the coast of Marinduque Island.,,30,Bell UH-1H,,PH,12.879721,121.774017,Philippines
4,08-10-1965,4,,0,Near Patian,Pakistan,,"Near Patian, Pakistan",1,Pakistan International Airlines,AP-ATT,Rawalpindi - Skardu,The cago plane did not clear a ridge and crashed.,30-12-1899 01:15:00,4,Fokker F-27 Friendship 200,10279,PK,30.375321,69.345116,Pakistan
32,28-12-1948,32,,0,Off San Juan,Puerto Rico,,"Off San Juan, Puerto Rico",1,Airborne Transport,N16002,San Juan - Miami,Radio contact was lost after the crew reported being 50 nm south of Miami. Departure from San Juan with known electrical problems and discharged batteries. Ditched in the Gulf of Mexico after it ran out of fuel. Offical cause unknown.,30-12-1899 04:13:00,32,Douglas DC-3,1496,PR,18.220833,-66.590149,Puerto Rico
14,22-07-1938,14,,0,Stulpica,Romania,,"Stulpica, Romania",1,LOT Polish Airlines,SP-BNG,"Warsaw, Poland - Bucharest, Romania",Crashed after being struck by lightning.,,14,Lockheed 14H Super Electra,1432,RO,45.943161,24.96676,Romania
20,21-02-2002,17,,0,Lakhta,Russia,,"Lakhta, Russia",1,Military - Russian Navy,07RED,Sanofov - Lakhta,"The plane was making an emergency landing after two previous attempts in heavy snow and strong winds when it clipped treetops and crashed into a field, approximately 1.5km short of the runway.",30-12-1899 20:44:00,17,Antonov AN-26,ZR726001,RU,61.52401,105.318756,Russia
6,26-09-1989,6,,0,Nyala,Sudan,,"Nyala, Sudan",1,Nile Safaris Aviation,ST-AIW,,,,6,Cessna 404 Titan II,,SD,12.862807,30.217636,Sudan
34,04-09-1964,28,,0,Near Vaong Nong,Thailand,,"Near Vaong Nong, Thailand",1,Military - Royal Thai Air Force,,Khoke Kathiam - Vaong Nong,Struck a tree and crashed during a nighttime landing attempt.,30-12-1899 19:00:00,28,Douglas C-47,,TH,15.870032,100.992541,Thailand
10,19-10-1968,10,,0,Near Izmir,Turkey,,"Near Izmir, Turkey",1,Military - Turkish Air Force,17949,,Struck a mountain.,,10,Lockheed C-130E Hercules,4100,TR,38.963745,35.243322,Turkey
10,28-09-1983,10,,0,Off Lanyu Island,Taiwan,,"Off Lanyu Island, Taiwan",1,Taiwan Airlines,B-11109,,Crashed into the sea.,,10,Britten-Norman BN-2A-26 Trislander,0518,TW,23.69781,120.960515,Taiwan
32,26-02-1960,32,,0,Lvov,Ukraine,USSR,"Lvov, Ukraine, USSR",1,Aeroflot,CCCP-11180,,Crashed during approach.,,32,Antonov AN-10,,UA,48.379433,31.16558,Ukraine
27,02-10-1998,1,,0,Near Canaima,Venezuela,,"Near Canaima, Venezuela",1,Servivensa,YV-611C,Sighteeing,"The sightseeing plane, after a flight over Angel Falls, crashed short of the runway into a swamp.",30-12-1899 09:45:00,1,Douglas DC-3C,1977,VE,6.42375,-66.58973,Venezuela
155,12-05-1968,155,,0,Kham Duc,Vietnam,,"Kham Duc, Vietnam",1,Military - U.S. Air Force,60-0297,,"Shot down by enemy fire while attempting to evacuate Kham Ducivilians.  The aircraft shook  violently, crashed and burst into flames in a ravine at the end of the airstrip.",30-12-1899 16:00:00,155,Lockheed C-130B Hercules,3600,VN,14.058324,108.277199,Vietnam
6,14-12-1933,4,,0,Eshowe,South Africa,,"Eshowe, South Africa",1,Union Airways,ZS-AEB,,,,4,Junkers W-34,2735,ZA,-30.559482,22.937506,South Africa
36,09-02-1987,36,,0,Near Khost,Afghanistan,,"Near Khost, Afghanistan",1,Military - Afghan Republican Air Force,,,Shot down by a Stinger missile by Afghan guerillas.,30-12-1899 11:30:00,36,Antonov AN-26,,AF,33.93911,67.709953,Afghanistan
144,18-12-1995,141,,0,Kahengula,Angola,,"Kahengula, Angola",1,Trans Service Airlift,9Q-CRR,Kinshasa - Jamba,"The plane, chartered by the UNITA rebel movement, stalled and crashed shortly after takeoff from Jamba. Overloaded by 40 passengers. One report stated baggage shifted to the rear of the plane.",,141,Lockheed L-188C Electra,1080,AO,-11.202692,17.873887,Angola
11,05-05-1969,11,,0,Las Higueras,Argentina,,"Las Higueras, Argentina",1,Argentina CAA,LQ-IPC,,Crashed during landing attempt.,,11,Douglas DC-3,4280,AR,-38.416097,-63.616672,Argentina
16,10-03-1949,16,,0,Coolangatta,Australia,,"Coolangatta, Australia",1,Queensland Airlines,VH-BAG,Coolangatta - Brisbane,"Crashed on takeoff from Coolangatta.  After becoming airborne, the aircraft was seen to climb very steeply and stall when at a height of 300 ft., roll to the left and crash.",30-12-1899 09:50:00,16,Lockheed 18 Lodestar,2194,AU,-25.274398,133.775136,Australia
6,27-01-1977,6,,0,San Ramon,Bolivia,,"San Ramon, Bolivia",1,Transportes Aéreos Itenez,CP-983,,,,6,Fairchild C-82,10147,BO,-16.290154,-63.588653,Bolivia
6,02-08-2000,6,,0,Cubatao,Brazil,,"Cubatao, Brazil",1,Air taxi - Lider Air Taxi,PT-HRD,Cubatao - Navegantes,"The helicopter exploded and crashed from a height of 1,000 ft.",30-12-1899 08:45:00,6,Sikorsky S-76,,BR,-14.235004,-51.92528,Brazil
9,24-03-1980,6,,0,Deer Lake,Canada,,"Deer Lake, Canada",1,Tomahawk Airways,C-FEIA,,,,6,Cessna 402,,CA,56.130366,-106.346771,Canada
5,18-02-1959,5,,0,Belen,Chile,,"Belen, Chile",1,Southern Cross Airways,N68823,"Arica, Colombia - Puerto Suarez, Bolilvia",The cargo plane was overloaded and could not maintain altitude after losing an engine. Crashed while attempting an emergency landing.,,5,Curtiss C-46A,26818,CL,-35.675147,-71.542969,Chile
46,07-10-1988,42,,0,Linfen,China,,"Linfen, China",1,Shanxi Airlines,B-4218,Sightseeing,The sightseeing  plane crashed into a hotel shortly after takeoff.,,42,Ilyushin IL-14P,6341406,CN,35.86166,104.195397,China
53,20-04-1998,53,422,0,Near Bogota,Colombia,,"Near Bogota, Colombia",1,Air France,HC-BSU,Bogota - Quito,"The aircraft, leased from TAME, crashed atop fog covered Cerro el Cable mountain and exploded into flames, three minutes after taking off from Bogota's El Dorado airport. The aircraft was leased to Air France by TAME airlines. The crew did not turn in the proper direction after reaching the Romeo non-directional beacon even though the flight crew acknowledged an air trafficontroller's warning that they were off course.",30-12-1899 16:47:00,53,Boeing B-727-230,21622/1431,CO,4.570868,-74.297333,Colombia
46,28-01-1966,46,5,0,Bremen,Germany,,"Bremen, Germany",1,Lufthansa,D-ACAT,Frankfurt - Bremen,Crashed on approach in heavy fog. The aircraft stalled while making a turn at low altitude. Instrument malfunction.,30-12-1899 17:50:00,46,Convair CV-440-0,464,DE,51.165691,10.451526,Germany
59,15-08-1976,59,,0,Andes Mountains,Ecuador,,"Andes Mountains, Ecuador",1,SAETA,HC-ARS,Quito - Cuenca,Crashed while en route.,,59,Vickers Viscount 785D,377,EC,-1.831239,-78.183406,Ecuador
30,18-03-1966,30,749,0,Cairo,Egypt,,"Cairo, Egypt",1,United Arab Airlines,SU-AOA,Nicosia - Cairo,Crashed into sand dunes. Improper approach during a sandstorm with turbulence and icing. Descent of the aircraft below the safe flight altitude in the final approach.,30-12-1899 18:40:00,30,Antonov AN-24B,57302009,EG,26.820553,30.802498,Egypt
25,28-08-1973,24,,0,Near Huete,Spain,,"Near Huete, Spain",1,Military - U.S. Air Force,63-8077,Athens - Madrid,"The aircraft was cleared to 5,000 ft. but descended to 3,000 ft. The plane hit a ridge became airborne, rolled over and crashed inverted into a ravine.",30-12-1899 21:45:00,24,Lockheed C-141A,6008,ES,40.463667,-3.74922,Spain
7,18-08-1987,4,,0,Near Auturn,France,,"Near Auturn, France",1,Oxaero Ltd.,G-BGEO,,Crashed into a mountain.,,4,Piper PA-31-350 Navajo,31-7405489,FR,46.227638,2.213749,France
85,04-04-1977,62,242,8,New Hope,Georgia,,"New Hope, Georgia",1,Southern Airways,N1335U,Huntsville - Atlanta,The aircraft sustained a broken windshield and loss of power to both engines after penetrating a thunderstorm and encountering hail. The plane crash landed on a highway and exploded in flames. Total and unique loss of thrust from both engines while the aircraft was penetrating an area of severe thunderstorms with heavy precipitation and hail. Contributing factor was the failure of the company's dispatcher to provide the flight crew with up-to-date severe weather information.,30-12-1899 16:19:00,70,McDonnell Douglas DC-9-31,47393/608,GE,42.315407,43.356892,Georgia
23,21-12-1948,23,,0,Near Pilos,Greece,,"Near Pilos, Greece",1,Ceskoslovenske Aerolinie,OK-WDE,Rome - Athens,Crashed in the Taigetos Mountains while en route.,,23,Douglas DC-3,12894,GR,39.074208,21.824312,Greece
9,08-01-2001,9,,0,Near Silimo,Indonesia,,"Near Silimo, Indonesia",1,Military - Tentara Nasional Indonesia Navy,U-614,Timika - Jayapura,"Struck Timika Peak at 11,800 ft. shortly after taking off.",,9,CASA 212-MP Aviocar 200,223/63N,ID,-0.789275,113.921327,Indonesia
19,22-03-1986,19,,0,Jammuin,India,,"Jammuin, India",1,Military - Indian Air Force,,,,,19,Antonov An-32,,IN,20.593684,78.96288,India
103,02-11-1986,103,,0,Near Zahedan,Iran,,"Near Zahedan, Iran",1,Military - Iranian Air Force,,Bakhtaran - Zahedan,Struck the side of a mountain near the Pakistani border. Crew error. Descent below minimum safe altitude with a defective altimeter and in spite of warnings from the ATC.,30-12-1899 19:25:00,103,Lockheed C-130,,IR,32.427908,53.688046,Iran
44,03-03-1977,44,,0,Near Cascina,Italy,,"Near Cascina, Italy",1,Military - Italian Air Force,MM61995,Training,The aircraft crashed into cloud obscured  Mt. Serra shortly after taking off from San Giusto Airport at Pisa. The plane was seen making a evasive maneuver before slamming into the mountain peak.,30-12-1899 15:00:00,44,Lockheed C-130H,4491,IT,41.87194,12.56738,Italy
133,04-02-1966,133,8302,0,Tokyo Bay,Japan,,"Tokyo Bay, Japan",1,All Nippon Airways,JA8302,Chitose - Tokyo,"The jetliner crashed about 7.5 miles ESE of Tokyo International (Haneda) Airport where it was scheduled to land. The aircraft was on VFR approach and was observed at a height of 2, 000 ft. just before the crash.  Cause undetermined. Excessive sink rate is thought to have caused four 727 accidents in succession. Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected.",30-12-1899 19:00:00,133,Boeing B-727-81,18822/126,JP,36.204824,138.252924,Japan
28,11-07-1945,28,,0,Near Kisumu,Kenya,,"Near Kisumu, Kenya",1,Military - South African Air Force,6812,,Crashed shortly after take off into Lake Victoria.,,28,Douglas C-47,,KE,-0.023559,37.906193,Kenya
2,17-04-1966,2,,0,Sam Neua,Laos,,"Sam Neua, Laos",1,Continental Air Services,N8744R,,The cargo plane crashed while on a Vietnam war mission.,,2,Douglas C-47A,20156,LA,19.85627,102.495496,Laos
5,17-09-1929,5,,0,Off Larache,Morocco,,"Off Larache, Morocco",1,Aeropostale,F-AIUJ,,Crashed into the Mediterranean.,,5,Latecoere 25-3-R,704,MA,31.791702,-7.09262,Morocco
8,06-02-1996,8,,0,Near Ensenada,Mexico,,"Near Ensenada, Mexico",1,Aérotaxi Cachanilla,XA-SLQ,Tijuana - Ensenada,Crashed into a hill in heavy fog while on approach.,30-12-1899 20:20:00,8,Cessna 500 Citation,500-0111,MX,23.634501,-102.552784,Mexico
6,21-07-1988,6,,0,Near Lagos,Nigeria,,"Near Lagos, Nigeria",1,Angola Air Charter,D2-TOV,"Oostende, Belgium - Lagos, Nigeria",Crashed on approach.,,6,Boeing 707-328C,18881/436,NG,9.081999,8.675277,Nigeria
45,02-10-1948,19,,0,Near Trondheim,Norway,,"Near Trondheim, Norway",1,Norwegian Airlines,LN-IWA,Fornebu - Hommelvik,Crashed while attempting to land in crosswinds and high seas.,,19,Short Sandringham 6 (flying boat),SH-52C,NO,60.472024,8.468946,Norway
35,12-07-1969,35,,0,Hitauda,Nepal,,"Hitauda, Nepal",1,Royal Nepal Airlines,9N-AAP,Katmandu - Simra,Collided with trees on a cloud covered mountain summit. The plane was 10 miles from its destination when it crashed. Weather was poor at the time of the accident.,,35,Douglas DC-3,42956,NP,28.394857,84.124008,Nepal
15,18-03-1949,15,,0,Near Waikanae,New Zealand,,"Near Waikanae, New Zealand",1,New Zealand National Airways,ZK-AKX,Auckland - Wellington,Crashed into a hill while on approach.,30-12-1899 09:40:00,15,Lockheed 18 Lodestar,2382,NZ,-40.900557,174.885971,New Zealand
10,10-03-1989,10,,0,Lima,Peru,,"Lima, Peru",1,Aero Condor,OB-T-1271,Sightseeing,Crashed after striking radio tower while on approach.,,10,Britten Norman BN-2A Trislander,0604,PE,-9.189967,-75.015152,Peru
30,11-07-1982,4,480,0,Jolo,Philippines,,"Jolo, Philippines",1,Philippine Air Lines,RP-C1014,,Takeoff was aborted at V1 when the crew heard unusual sounds from the No.1 engine. The aircraft overran the runway and came to rest against a wall and some vehicles. Misjudged speed and distance and delayed action in aborting the takeoff.,,4,Hawker Siddeley HS-748-209 Srs. 2,1636,PH,12.879721,121.774017,Philippines
26,26-03-1965,22,,0,Lowery Pass,Pakistan,,"Lowery Pass, Pakistan",1,Pakistan International Airlines,AP-AAH,Peshawar - Chitral,Crashed while en route.,,22,Douglas C-47,12089,PK,30.375321,69.345116,Pakistan
22,01-10-1942,22,,0,Near Coamo,Puerto Rico,,"Near Coamo, Puerto Rico",1,Military - U.S. Army Air Forces,38-524,Caomo - San Juan,The aircraft made a wide descending turn with engines running roughly and crashed into a hill.,30-12-1899 09:30:00,22,Douglas C-39-DO  (DC-2),2081,PR,18.220833,-66.590149,Puerto Rico
18,01-12-2001,18,,0,Near Novaya Inya,Russia,,"Near Novaya Inya , Russia",1,"Military - Russian, cargo",RA-76839,Moscow - Bratsk - Anadyr,A fire broke out aboard the aircraft while en route at FL290. The crew was preparing for an emergency landing when two explosions tore apart the plane causing it to crash.,30-12-1899 12:54:00,18,Ilyushin IL- 76TD,1023411375,RU,61.52401,105.318756,Russia
13,05-05-1987,13,,0,Malakal,Sudan,,"Malakal, Sudan",1,Sasco Air Lines,ST-AIJ,,Shot down by rebels shortly after taking off.,,13,Cessna 404 Titan II,404-0612,SD,12.862807,30.217636,Sudan
26,19-07-1962,26,869,0,Near Bangkok,Thailand,,"Near Bangkok, Thailand",1,United Arab Airlines,SU-AMW,Hong Kong - Bangkok,"Crashed into a jungle on the side of a mountain, 52 nm from the Bangkok airport while on approach. Premature descent. Navigational error.",30-12-1899 15:45:00,26,de Havilland Comet 4C,06464,TH,15.870032,100.992541,Thailand
3,03-02-1964,3,,0,Near Ankara,Turkey,,"Near Ankara, Turkey",1,Turkish Airlines (THY),TC-ETI,Istanbul - Ankara,The cargo plane crashed short of the runway while on approach. Improper IFR procedure. Descended below MDA.,,3,Douglas C-47A,12319,TR,38.963745,35.243322,Turkey
47,06-06-1983,47,,0,Off Quemoy,Taiwan,,"Off Quemoy, Taiwan",1,Military - Republiof China Air Force,,,The domestiflight crashed into the Formosa Strait after the right engine caught fire shortly after taking off.,30-12-1899 12:40:00,47,Fairchild C-199G,,TW,23.69781,120.960515,Taiwan
40,16-11-1959,40,,0,Lvov,Ukraine,USSR,"Lvov, Ukraine, USSR",1,Aeroflot,CCCP-11167,,Crashed during approach.,,40,Antonov AN-10,9401402,UA,48.379433,31.16558,Ukraine
12,29-08-1997,12,,0,Puerto Inirida,Venezuela,,"Puerto Inirida, Venezuela",1,SATENA,FAC1115,San Felipe - Puerto Inirida,Collided with a Cessna 206 (OB-1450) and crashed 3 miles from the airfield. Six killed on the Pilatus and 6 on the Cessna,,12,Pilatus PC-6 Turbo Porter / Cessna 206,820,VE,6.42375,-66.58973,Venezuela
12,01-04-1968,12,,0,Off Phu Quoc,Vietnam,,"Off Phu Quoc, Vietnam",1,Military - U.S. Navy,153445,,Shot down by enemy fire.,,12,Lockheed P-3B Orion,185-5241,VN,14.058324,108.277199,Vietnam
40,25-11-1986,40,,0,Near Sarowbi,Afghanistan,,"Near Sarowbi, Afghanistan",1,Military - Afghan Republican Air Force,,,Shot down by Afghan rebels.,,40,Ilyushin IL-18,,AF,33.93911,67.709953,Afghanistan
48,17-06-1995,48,,0,Near Cuvela,Angola,,"Near Cuvela, Angola",1,Military - Angolan Air Force,T401,Ondjiva - Catumbela,"The aircraft, carrying members of a local soccer club crashed 10 miles short of it's destination. Adverse weather conditions and overloaded.",,48,CASA 212-200 Aviocar,A53-2-326,AO,-11.202692,17.873887,Angola
16,17-08-1966,1,,0,Puertos Lobos,Argentina,,"Puertos Lobos, Argentina",1,Aerovias Halcon,LV-GLA,Rio Gallegos -  Buenos Aires,"Ditched in the ocean after running out of fuel after a problem caused excessive fuel consumption. Decision to continue a flight with both engines impaired until ditching at night became inevitable, instead of making an emergency daytime landing on any of the various runways in the area at a time when the situation made it clear that this operation was inevitable.",30-12-1899 18:30:00,1,Curtiss C-46F-1-CU,22534,AR,-38.416097,-63.616672,Argentina
23,08-11-1948,3,,0,Mt. Macedon,Australia,,"Mt. Macedon, Australia",1,Australian National Airways,VH-UZK,Melbourne - Denilquin,Crashed into Mt. Macedon hidden in fog. The pilot deviated off course from his flight plan and failed to follow VFR flight rules.,30-12-1899 07:40:00,3,Douglas DC-3,2003,AU,-25.274398,133.775136,Australia
3,13-10-1976,3,,113,Santa Cruz,Bolivia,,"Santa Cruz, Bolivia",1,Lloyd Aéreo Boliviano,N730JP,Santa Cruz - Viru,"The aircraft failed to climb and crashed into trees, poles and houses at the end of the runway and came to rest in a soccer field 560 meters beyond the runway. The failure of the crew to select enough thrust to achieve the necessary acceleration. Crew fatigue.",,116,Boeing B-707-31,17671/48,BO,-16.290154,-63.588653,Bolivia
4,21-06-2000,4,,0,Cuiaba,Brazil,,"Cuiaba, Brazil",1,Air taxi - Jao Air Taxi,PT-LGL,Cuiaba - Rondonopolis,"Fifteen minutes into the flight under foggy conditions and low ceiling, the aircraft entered a sharp descent and struck a tree and the ground.",30-12-1899 07:15:00,4,Beech Baron,,BR,-14.235004,-51.92528,Brazil
3,01-11-1979,3,607,0,Big Trout Lake,Canada,,"Big Trout Lake, Canada",1,Austin Airways,C-GTJA,Pickle Lake - Big Trout,Sruck the tower while trying to land in poor visibility.,,3,De Havilland Dash-6,630,CA,56.130366,-106.346771,Canada
16,13-04-1954,16,,0,Santiago,Chile,,"Santiago, Chile",1,LAN,956,,,,16,Douglas DC-3,,CL,-35.675147,-71.542969,Chile
44,15-12-1986,6,,0,Near Lanzhou,China,,"Near Lanzhou, China",1,CAAC,B-3413,Lanzhou - Chengdu,"The No. 2 engine failed due to severe icing conditions 30 minutes after leaving Lanzhou. With the prop feathered, the plane crashed before reaching the airport.",,6,Antonov AN-24RV,37308907,CN,35.86166,104.195397,China
29,06-07-1997,25,,0,Near Saravena,Colombia,,"Near Saravena, Colombia",1,Military - Colombian Army,,,Shot down by rebels.,,25,Mil Mi-17 (helicopter),,CO,4.570868,-74.297333,Colombia
47,26-06-1963,38,,0,Detmold,Germany,,"Detmold, Germany",1,Military - Belgian Air Force,CP-45,,Struck by British mortar fire over Sennelager. Nine paratroopers were able to jump to safety before the plane crashed.,,38,Kaiser-Fraser C-119G,246,DE,51.165691,10.451526,Germany
42,20-01-1976,34,,0,Near Loja,Ecuador,,"Near Loja, Ecuador",1,TAME,FAE-683,Loja - Guayaquil,The aircraft lost altitude and the right wing struck trees as the plane crashed in the Chillacocha mountain range at 9.000 ft. while en route.,30-12-1899 07:15:00,34,Hawker Siddeley HS-748-246,1683,EC,-1.831239,-78.183406,Ecuador
31,07-07-1965,30,,0,Cairo,Egypt,,"Cairo, Egypt",1,Military - Soviet Air Force,,Cairo - Yamen,Crashed and burned after taking off from Almaza Airport.,,30,Antonov AN-12,,EG,26.820553,30.802498,Egypt
85,13-08-1973,85,116,5,Near La  Corunda,Spain,,"Near La  Corunda, Spain",1,Aviaco,EC-BIC,Madrid - La Coruna,"The aircraft experienced two missing landing attempts. On the third try, the crew tried to descent below minimum safe altitude to make visual contact with the ground. The right wing clipped trees and the aircraft crashed about 2 m from the runway. Attempting to land in meteorological conditions that were below minima.",30-12-1899 11:40:00,90,Sud-Aviation Caravelle 10-R,225/224,ES,40.463667,-3.74922,Spain
10,22-12-1982,10,,0,Mesvres,France,,"Mesvres, France",1,Rijnmond Air Services,PH-TSM,,,,10,Piper PA-31-350 Chieftain,31-7852161,FR,46.227638,2.213749,France
41,15-07-1975,41,,0,Near Batumi,Georgia,USSR,"Near Batumi, Georgia, USSR",1,Aeroflot,CCCP-87475,,The aircraft struck a mountain after an attempted go-around.,,41,Yakovlev YAK-40,9442037,GE,42.315407,43.356892,Georgia
44,26-10-1947,44,1629,0,Near Mt. Hymettus,Greece,,"Near Mt. Hymettus, Greece",1,AB Aerotransport,SE-BBG,Istanbul-Athens-Rome-Geneve-Copenhagen-Stockholm,"The aircraft crashed into Mt. Hymettus while on approach to Hassani Airport in a severe rainstorm. The captain, John Douglas, probably tried to force the landing due to the weather conditions, when the belly of the aircraft hit the summit, resulting in loss of control, crash and fire. The pilot did not properly follow IFR procedures. The wreckage was found the next morning with the corpses of the victims plundered (the victim's pockets were found to be turned inside-out). The aircraft was named 'Sunnan.'",30-12-1899 17:20:00,44,Douglas DC-4-1009,42930/45,GR,39.074208,21.824312,Greece
104,19-12-1997,104,185,0,Near Palembang,Indonesia,,"Near Palembang, Indonesia",1,SilkAir,9V-TRF,Jakarta - Hatta - Singapore,"The plane disappeared off radar screens and shortly after, crashed into the Musi River. The plane, almost brand-new, cruising in good weather and with an experienced crew, suddenly left normal flight from 35,000 feet and crashed at a high rate of speed into the Sumatran jungle. The right wing and parts of the rudder separated from the aircraft before it crashed. The Indonesian National Transportation Committee found that there was insufficient evidence to find a cause for the accident. The U.S. National Transportation Safety Board strongly disagreed and stated the jet's cockpit voice recorder was intentionally disconnected and its flight controls placed in a nose-down position most likely by the captain. While the U.S. NTSB stopped short of using the term suicide, its dissenting report made it clear it believed the crash was the result of actions by the captain. In July 2004 a California jury found the manufacturer of the PCU valve that controls rudder responsible for the accident after the valve was located and showed defects which may have led to a rudder hardover.",30-12-1899 16:13:00,104,Boeing B-737-300,28556/2851,ID,-0.789275,113.921327,Indonesia
111,22-06-1982,17,,0,Bombay,India,,"Bombay, India",1,Air India,VT-DJJ,Kuala Lumpur - Mumbai,The crew initiated a go-around after a heavy landing and a subsequently bounced lifted off the runway but descended back onto the ground and broke up. Deliberate reduction of engine power by the pilot 12 seconds prior to first impact due to altitude unawareness resulting in a high rate of descent and very hard landing. The aircraft was named 'Gaurishankar.',,17,Boeing B-707-437,17723/100,IN,20.593684,78.96288,India
80,15-10-1986,3,,0,Shiraz,Iran,,"Shiraz, Iran",1,Iran Air,EP-IRG,,Shiraz Airport was attacked by Iraqi aircraft. Passengers were deplaning at the time of the attack.,,3,Boeing 737-286,20499/284,IR,32.427908,53.688046,Iran
42,01-01-1974,38,,0,Near Turin,Italy,,"Near Turin, Italy",1,Itavia,I-TIDE,Bologna - Torino,Crashed 2 miles short of the runway during an approach in fog and heavy rain.,30-12-1899 12:38:00,38,Fokker F-28 Fellowship 1000,11015,IT,41.87194,12.56738,Italy
11,17-07-1965,11,,0,Off Choushi,Japan,,"Off Choushi, Japan",1,Military - Japan Maritime Self Defense Force,,,Crashed into the sea.,30-12-1899 12:10:00,11,Lockheed P2V-7,,JP,36.204824,138.252924,Japan
6,17-07-1963,6,,0,Pak Tha,Laos,,"Pak Tha, Laos",1,Air America,B-148,,The cargo plane crashed into a fog shrouded mountain.,,6,Curtiss C-46F,22510,LA,19.85627,102.495496,Laos
1,20-03-1927,1,,0,Rabat,Morocco,,"Rabat, Morocco",1,Grands Express Aeriens,F-ALRA,,,,1,Breguet 14,,MA,31.791702,-7.09262,Morocco
